"","NO","Kode","kabupaten","Res_tlbofgwc$cluster"
"162",162,3202,"Sukabumi",1
"163",163,3203,"Cianjur",1
"164",164,3204,"Bandung",1
"165",165,3205,"Garut",1
"166",166,3206,"Tasikmalaya",1
"167",167,3207,"Ciamis",1
"168",168,3208,"Kuningan",1
"169",169,3209,"Cirebon",1
"170",170,3210,"Majalengka",1
"171",171,3211,"Sumedang",1
"172",172,3212,"Indramayu",1
"173",173,3213,"Subang",1
"174",174,3214,"Purwakarta",1
"175",175,3215,"Karawang",1
"176",176,3216,"Bekasi",2
"177",177,3217,"Bandung Barat",1
"178",178,3218,"Pangandaran",1
"179",179,3271,"Kota Bogor",2
"180",180,3272,"Kota Sukabumi",2
"181",181,3273,"Kota Bandung",2
"182",182,3274,"Kota Cirebon",1
"183",183,3275,"Kota Bekasi",2
"184",184,3276,"Kota Depok",2
"185",185,3277,"Kota Cimahi",2
"186",186,3278,"Kota Tasikmalaya",1
"187",187,3279,"Kota Banjar",1
"188",188,3301,"Cilacap",1
"189",189,3302,"Banyumas",1
"190",190,3303,"Purbalingga",1
"191",191,3304,"Banjarnegara",1
"192",192,3305,"Kebumen",1
"193",193,3306,"Purworejo",1
"194",194,3307,"Wonosobo",1
"195",195,3308,"Magelang",1
"196",196,3309,"Boyolali",1
"197",197,3310,"Klaten",1
"198",198,3311,"Sukoharjo",1
"199",199,3312,"Wonogiri",1
"200",200,3313,"Karanganyar",2
"201",201,3314,"Sragen",4
"202",202,3315,"Grobogan",1
"203",203,3316,"Blora",1
"204",204,3317,"Rembang",1
"205",205,3318,"Pati",4
"206",206,3319,"Kudus",4
"207",207,3320,"Jepara",1
"208",208,3321,"Demak",2
"209",209,3322,"Semarang",2
"210",210,3323,"Temanggung",1
"211",211,3324,"Kendal",2
"212",212,3325,"Batang",1
"213",213,3326,"Pekalongan",1
"214",214,3327,"Pemalang",1
"215",215,3328,"Tegal",1
"216",216,3329,"Brebes",1
"217",217,3371,"Kota Magelang",1
"218",218,3372,"Kota Surakarta",2
"219",219,3373,"Kota Salatiga",2
"220",220,3374,"Kota Semarang",2
"221",221,3375,"Kota Pekalongan",2
"222",222,3376,"Kota Tegal",1
"223",223,3401,"Kulon Progo",4
"224",224,3402,"Bantul",4
"225",225,3403,"Gunung Kidul",4
"226",226,3404,"Sleman",4
"227",227,3471,"Kota Yogyakarta",4
"228",228,3501,"Pacitan",1
"229",229,3502,"Ponorogo",1
"230",230,3503,"Trenggalek",1
"231",231,3504,"Tulungagung",1
"232",232,3505,"Blitar",1
"233",233,3506,"Kediri",1
"234",234,3507,"Malang",1
"235",235,3508,"Lumajang",1
"236",236,3509,"Jember",1
"237",237,3510,"Banyuwangi",1
"238",238,3511,"Bondowoso",1
"239",239,3512,"Situbondo",1
"240",240,3513,"Probolinggo",1
"241",241,3514,"Pasuruan",1
"242",242,3515,"Sidoarjo",2
"243",243,3516,"Mojokerto",1
"244",244,3517,"Jombang",1
"245",245,3518,"Nganjuk",1
"246",246,3519,"Madiun",1
"247",247,3520,"Magetan",2
"248",248,3521,"Ngawi",1
"249",249,3522,"Bojonegoro",1
"250",250,3523,"Tuban",1
"251",251,3524,"Lamongan",1
"252",252,3525,"Gresik",2
"253",253,3526,"Bangkalan",1
"254",254,3527,"Sampang",1
"255",255,3528,"Pamekasan",1
"256",256,3529,"Sumenep",1
"257",257,3571,"Kediri",1
"258",258,3572,"Blitar",1
"259",259,3573,"Kota Malang",2
"260",260,3574,"Kota Probolinggo",2
"261",261,3575,"Kota Pasuruan",2
"262",262,3576,"Kota Mojokerto",4
"263",263,3577,"Kota Madiun",2
"264",264,3578,"Kota Surabaya",2
"265",265,3579,"Kota Batu",2
"266",266,3601,"Pandeglang",1
"267",267,3602,"Lebak",1
"268",268,3603,"Tangerang",1
"269",269,3604,"Serang",1
"270",270,3671,"Tangerang",2
"271",271,3672,"Cilegon",2
"272",272,3673,"Kota Serang",1
"273",273,3674,"Kota Tangerang Selatan",2
"274",274,5101,"Jembrana",2
"275",275,5102,"Tabanan",2
"276",276,5103,"Badung",2
"277",277,5104,"Gianyar",2
"278",278,5105,"Klungkung",2
"279",279,5106,"Bangli",2
"280",280,5107,"Karang Asem",2
"281",281,5108,"Buleleng",2
"282",282,5171,"Kota Denpasar",2
"283",283,5201,"Lombok Barat",3
"284",284,5202,"Lombok Tengah",3
"285",285,5203,"Lombok Timur",3
"286",286,5204,"Sumbawa",3
"287",287,5205,"Dompu",3
"288",288,5206,"Bima",3
"289",289,5207,"Sumbawa Barat",4
"290",290,5208,"Lombok Utara",3
"291",291,5271,"Kota Mataram",2
"292",292,5272,"Kota Bima",3
"293",293,5301,"Sumba Barat",1
"294",294,5302,"Sumba Timur",1
"295",295,5303,"Kupang",1
"296",296,5304,"Timor Tengah Selatan",1
"297",297,5305,"Timor Tengah Utara",1
"298",298,5306,"Belu",3
"299",299,5307,"Alor",1
"300",300,5308,"Lembata",1
"301",301,5309,"Flores Timur",1
"302",302,5310,"Sikka",4
"303",303,5311,"Ende",4
"304",304,5312,"Ngada",2
"305",305,5313,"Manggarai",4
"306",306,5314,"Rote Ndao",3
"307",307,5315,"Manggarai Barat",1
"308",308,5316,"Sumba Tengah",1
"309",309,5317,"Sumba Barat Daya",1
"310",310,5318,"Nagekeo",1
"311",311,5319,"Manggarai Timur",1
"312",312,5320,"Sabu Raijua",1
"313",313,5321,"Malaka",1
"314",314,5371,"Kota Kupang",2
"315",315,6101,"Sambas",1
"316",316,6102,"Bengkayang",1
"317",317,6103,"Landak",1
"318",318,6104,"Mempawah",1
"319",319,6105,"Sanggau",1
"320",320,6106,"Ketapang",1
"321",321,6107,"Sintang",1
"322",322,6108,"Kapuas Hulu",1
"323",323,6109,"Sekadau",1
"324",324,6110,"Melawi",1
"325",325,6111,"Kayong Utara",1
"326",326,6112,"Kubu Raya",1
"327",327,6171,"Kota Pontianak",2
"328",328,6172,"Kota Singkawang",4
"329",329,6201,"Kotawaringin Barat",1
"330",330,6202,"Kotawaringin Timur",2
"331",331,6203,"Kapuas",1
"332",332,6204,"Barito Selatan",2
"333",333,6205,"Barito Utara",2
"334",334,6206,"Sukamara",1
"335",335,6207,"Lamandau",1
"336",336,6208,"Seruyan",1
"337",337,6209,"Katingan",1
"338",338,6210,"Pulang Pisau",1
"339",339,6211,"Gunung Mas",1
"340",340,6212,"Barito Timur",1
"341",341,6213,"Murung Raya",1
"342",342,6271,"Kota Palangka Raya",2
"343",343,6301,"Tanah Laut",1
"344",344,6302,"Kota Baru",2
"345",345,6303,"Banjar",2
"346",346,6304,"Barito Kuala",1
"347",347,6305,"Tapin",2
"348",348,6306,"Hulu Sungai Selatan",2
"349",349,6307,"Hulu Sungai Tengah",2
"350",350,6308,"Hulu Sungai Utara",2
"351",351,6309,"Tabalong",2
"352",352,6310,"Tanah Bumbu",2
"353",353,6311,"Balangan",2
"354",354,6371,"Kota Banjarmasin",2
"355",355,6372,"Kota Banjar Baru",2
"356",356,6401,"Paser",2
"357",357,6402,"Kutai Barat",2
"358",358,6403,"Kutai Kartanegara",2
"359",359,6404,"Kutai Timur",2
"360",360,6405,"Berau",2
"361",361,6409,"Penajam Paser Utara",2
"362",362,6411,"Mahakam Hulu",1
"363",363,6471,"Kota Balikpapan",2
"364",364,6472,"Kota Samarinda",2
"365",365,6474,"Kota Bontang",2
"366",366,6501,"Malinau",2
"367",367,6502,"Bulungan",2
"368",368,6503,"Tana Tidung",1
"369",369,6504,"Nunukan",2
"370",370,6571,"Kota Tarakan",2
"371",371,7101,"Bolaang Mongondow",1
"372",372,7102,"Minahasa",2
"373",373,7103,"Kepulauan Sangihe",4
"374",374,7104,"Kepulauan Talaud",2
"375",375,7105,"Minahasa Selatan",1
"376",376,7106,"Minahasa Utara",2
"377",377,7107,"Bolaang Mongondow Utara",1
"378",378,7108,"Siau Tagulandang Biaro",1
"379",379,7109,"Minahasa Tenggara",1
"380",380,7110,"Bolaang Mongondow Selatan",1
"381",381,7111,"Bolaang Mongondow Timur",1
"382",382,7171,"Kota Manado",2
"383",383,7172,"Kota Bitung",2
"384",384,7173,"Kota Tomohon",4
"385",385,7174,"Kota Kotamobagu",2
"386",386,7201,"Banggai Kepulauan",1
"387",387,7202,"Banggai",2
"388",388,7203,"Morowali",1
"389",389,7204,"Poso",2
"390",390,7205,"Donggala",1
"391",391,7206,"Toli-toli",2
"392",392,7207,"Buol",3
"393",393,7208,"Parigi Moutong",1
"394",394,7209,"Tojo Una-una",1
"395",395,7210,"Sigi",3
"396",396,7211,"Banggai Laut",2
"397",397,7212,"Morowali Utara",1
"398",398,7271,"Kota Palu",2
"399",399,7301,"Kepulauan Selayar",1
"400",400,7302,"Bulukumba",1
"401",401,7303,"Bantaeng",2
"402",402,7304,"Jeneponto",3
"403",403,7305,"Takalar",1
"404",404,7306,"Gowa",1
"405",405,7307,"Sinjai",4
"406",406,7308,"Maros",4
"407",407,7309,"Pangkajene Dan Kepulauan",1
"408",408,7310,"Barru",1
"409",409,7311,"Bone",1
"410",410,7312,"Soppeng",1
"411",411,7313,"Wajo",1
"412",412,7314,"Sidenreng Rappang",1
"413",413,7315,"Pinrang",1
"414",414,7316,"Enrekang",3
"415",415,7317,"Luwu",3
"416",416,7318,"Tana Toraja",1
"417",417,7322,"Luwu Utara",1
"418",418,7325,"Luwu Timur",1
"419",419,7326,"Toraja Utara",4
"420",420,7371,"Kota Makassar",2
"421",421,7372,"Kota Parepare",2
"422",422,7373,"Kota Palopo",2
"423",423,7401,"Buton",3
"424",424,7402,"Muna",3
"425",425,7403,"Konawe",1
"426",426,7404,"Kolaka",1
"427",427,7405,"Konawe Selatan",1
"428",428,7406,"Bombana",1
"429",429,7407,"Wakatobi",1
