NO;Kode;kabupaten;Res_fpafgwc$cluster
210;3323;Temanggung;3
211;3324;Kendal;3
212;3325;Batang;3
213;3326;Pekalongan;3
214;3327;Pemalang;3
215;3328;Tegal;3
216;3329;Brebes;3
217;3371;Kota Magelang;4
218;3372;Kota Surakarta;3
219;3373;Kota Salatiga;3
220;3374;Kota Semarang;3
221;3375;Kota Pekalongan;3
222;3376;Kota Tegal;4
223;3401;Kulon Progo;3
224;3402;Bantul;3
225;3403;Gunung Kidul;3
226;3404;Sleman;3
227;3471;Kota Yogyakarta;3
228;3501;Pacitan;3
229;3502;Ponorogo;3
230;3503;Trenggalek;3
231;3504;Tulungagung;3
232;3505;Blitar;3
233;3506;Kediri;3
234;3507;Malang;3
235;3508;Lumajang;3
236;3509;Jember;3
237;3510;Banyuwangi;3
238;3511;Bondowoso;3
239;3512;Situbondo;3
240;3513;Probolinggo;3
241;3514;Pasuruan;3
242;3515;Sidoarjo;3
243;3516;Mojokerto;3
244;3517;Jombang;3
245;3518;Nganjuk;3
246;3519;Madiun;3
247;3520;Magetan;3
248;3521;Ngawi;3
249;3522;Bojonegoro;3
250;3523;Tuban;3
251;3524;Lamongan;3
252;3525;Gresik;3
253;3526;Bangkalan;3
254;3527;Sampang;3
255;3528;Pamekasan;3
256;3529;Sumenep;3
257;3571;Kediri;3
258;3572;Blitar;3
259;3573;Kota Malang;3
260;3574;Kota Probolinggo;3
261;3575;Kota Pasuruan;3
262;3576;Kota Mojokerto;3
263;3577;Kota Madiun;3
264;3578;Kota Surabaya;4
265;3579;Kota Batu;3
266;3601;Pandeglang;3
267;3602;Lebak;3
268;3603;Tangerang;3
269;3604;Serang;3
270;3671;Tangerang;3
271;3672;Cilegon;3
272;3673;Kota Serang;3
273;3674;Kota Tangerang Selatan;3
274;5101;Jembrana;3
275;5102;Tabanan;4
276;5103;Badung;3
277;5104;Gianyar;3
278;5105;Klungkung;4
279;5106;Bangli;3
280;5107;Karang Asem;3
281;5108;Buleleng;3
282;5171;Kota Denpasar;3
283;5201;Lombok Barat;2
284;5202;Lombok Tengah;3
285;5203;Lombok Timur;3
286;5204;Sumbawa;2
287;5205;Dompu;2
288;5206;Bima;2
289;5207;Sumbawa Barat;3
290;5208;Lombok Utara;2
291;5271;Kota Mataram;4
292;5272;Kota Bima;2
293;5301;Sumba Barat;1
294;5302;Sumba Timur;1
295;5303;Kupang;1
296;5304;Timor Tengah Selatan;1
297;5305;Timor Tengah Utara;1
298;5306;Belu;3
